Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
P1,22/08/15,Maritimo,Porto,1,1,D,1,1,D,9,4.5,1.36,7.75,4.25,1.4,7,4.1,1.4,8.5,4,1.36,10.08,4.57,1.4,8,4,1.4,10,4.75,1.36,38,10.08,8.62,4.75,4.36,1.4,1.37,36,2.11,2.01,1.84,1.76,24,1.25,1.95,1.88,2,1.93
P1,22/08/15,Sp Lisbon,Pacos Ferreira,1,1,D,1,0,H,1.33,5,9,1.33,4.6,9,1.3,4.8,8.5,1.3,4.5,10,1.34,5.18,11.29,1.3,4.5,10,1.33,5,12,38,1.34,1.3,5.18,4.74,13,10.36,36,2.06,1.95,1.91,1.81,24,-1.5,2.09,2.02,1.88,1.81
P1,23/08/15,Arouca,Benfica,1,0,H,1,0,H,10,4.75,1.33,9,5.25,1.35,8.5,4.8,1.3,9,4.5,1.33,10.65,5.2,1.34,9,4.2,1.35,11,5,1.33,39,11,9.58,5.25,4.65,1.36,1.33,38,2.05,1.96,1.87,1.8,24,1.25,2.08,2,1.9,1.82
P1,23/08/15,Boavista,Tondela,1,0,H,0,0,D,1.95,3.3,4,2,3.5,3.4,1.9,3.3,3.7,1.91,3.1,4,2.01,3.33,4.32,2,3.1,3.8,2,3.3,4.3,39,2.01,1.95,3.5,3.22,4.32,3.92,32,2.4,2.3,1.66,1.58,25,-0.5,2.02,1.96,1.92,1.86
P1,23/08/15,Estoril,Moreirense,2,0,H,0,0,D,1.7,3.5,5.25,1.78,3.5,4.33,1.8,3.4,4,1.73,3.2,5,1.79,3.46,5.45,1.73,3.2,5,1.75,3.5,5.5,39,1.8,1.74,3.5,3.36,5.5,4.87,32,2.46,2.3,1.6,1.57,24,-0.75,2.07,1.99,1.9,1.83
P1,23/08/15,Guimaraes,Belenenses,1,1,D,1,0,H,1.85,3.3,4.5,1.9,3.3,4,1.9,3.3,3.7,1.83,3.1,4.33,1.93,3.39,4.64,1.85,3.2,4.2,1.87,3.4,4.75,39,1.95,1.87,3.4,3.27,4.75,4.2,32,2.41,2.3,1.61,1.57,25,-0.5,1.94,1.88,2.03,1.94
P1,23/08/15,Nacional,Uniao Madeira,1,0,H,1,0,H,1.8,3.4,4.75,1.72,3.5,4.75,1.9,3.3,3.7,1.8,3.25,4.33,1.89,3.44,4.77,1.85,3.2,4.2,1.85,3.5,4.75,39,1.9,1.83,3.5,3.3,4.77,4.43,32,2.35,2.24,1.66,1.61,25,-0.5,1.89,1.83,2.06,1.98
P1,24/08/15,Academica,Setubal,0,4,A,0,1,A,2.15,3.3,3.4,2.25,3.1,3.2,2.3,3.2,2.8,2.15,2.9,3.4,2.27,3.13,3.71,2.25,2.9,3.3,2.25,3.13,3.6,38,2.3,2.2,3.3,3.06,3.71,3.36,32,2.77,2.57,1.54,1.47,23,-0.25,1.95,1.89,1.99,1.92
P1,29/08/15,Benfica,Moreirense,3,2,H,0,1,A,1.2,6,15,1.18,5.75,16.5,1.17,5.8,13,1.18,6,15,1.21,6.8,18.6,1.17,6,15,1.18,6.5,21,35,1.21,1.17,6.8,6.37,23,16.42,32,1.8,1.73,2.19,2.06,23,-2,2.05,1.99,1.9,1.83
P1,29/08/15,Porto,Estoril,2,0,H,1,0,H,1.17,6.5,17,1.16,6,19.5,1.17,5.8,13,1.17,6,19,1.18,7.3,22.41,1.15,6.5,15,1.18,7,21,35,1.2,1.16,7.3,6.47,23.2,17.08,32,1.84,1.75,2.1,2.02,22,-1.75,1.85,1.79,2.11,2.03
