šport;država;liga;stavina;dan;polčas;tip;hc;tot;igralnaKvota;razlika;profit
Basketball;Poljska;Polish Liga;1;1;0;2;NULL;NULL;1,35;0,035;-1,00
soccer;Portugalska;Portu L Cup;2;1;0;2;NULL;NULL;2,30;0,041;1,30
Basketball;Španija;Spain ACB;1;1;0;2;NULL;NULL;2,10;0,041;-1,00
Basketball;Španija;Spain ACB;1;1;0;2;NULL;NULL;2,55;0,036;1,55
soccer;Mednarodni;UEFA EURO-Q;2;1;0;2;NULL;NULL;2,55;0,032;-1,00
soccer;Argentina;Argentina B;1;1;0;2;NULL;NULL;2,55;0,032;1,55
soccer;Argentina;Argentina B;1;1;0;2;NULL;NULL;3,00;0,041;2,00
Basketball;ZDA;NBA;2;1;0;2;NULL;NULL;1,75;0,044;0,75
soccer;Belorusija;Belarus Cup;1;2;0;4;NULL;2,50;1,85;0,033;-1,00
soccer;Belorusija;Belarus Cup;2;2;0;2;NULL;NULL;2,45;0,039;-1,00
soccer;Mednarodni;UEFA U19ChIl;1;2;0;2;NULL;NULL;1,70;0,031;-1,00
Basketball;Češka;Czech Mat;2;2;0;2;NULL;NULL;1,30;0,035;0,30
soccer;Mednarodni;UEFA U21ChII;2;2;0;2;0,00;NULL;2,12;0,047;-1,00
soccer;Mednarodni;UEFA U21ChII;2;2;1;4;NULL;1,50;1,55;0,037;0,55
soccer;Mednarodni;Intl Friendl;2;2;0;4;NULL;2,50;1,65;0,042;-1,00
Basketball;Italija;Italy Lega A;2;2;0;2;NULL;NULL;1,60;0,035;-1,00
Basketball;Mednarodni;Adriatic;2;2;0;2;NULL;NULL;2,00;0,033;-1,00
Basketball;ZDA;NBA;1;3;0;2;NULL;NULL;1,55;0,037;0,55
Basketball;ZDA;NBA;1;3;0;2;NULL;NULL;1,80;0,031;0,80
soccer;Mednarodni;FIFA WCQ Asi;2;3;0;2;2,00;NULL;1,88;0,036;0,88
Basketball;Filipini;PBA Phil Cup;2;3;0;2;NULL;NULL;2,50;0,058;-1,00
soccer;Mednarodni;UEFA U19ChIl;1;3;0;2;NULL;NULL;2,45;0,034;-1,00
soccer;Mednarodni;UEFA U21ChII;2;3;1;4;NULL;1,50;1,55;0,036;0,55
soccer;Mednarodni;UEFA U19ChIl;1;3;0;2;NULL;NULL;1,62;0,033;-1,00
soccer;Mednarodni;UEFA U21ChII;2;3;0;2;NULL;NULL;1,90;0,035;0,90
Basketball;Filipini;PBA Phil Cup;1;3;0;2;NULL;NULL;1,52;0,033;0,52
soccer;Mednarodni;FIFA WCQ Asi;2;3;0;2;3,00;NULL;2,05;0,031;-1,00
soccer;Mednarodni;UEFA U21ChII;1x;3;0;2;NULL;NULL;3,15;0,037;2,15
soccer;Mednarodni;FIFA WCQ Asi;2;3;0;2;NULL;NULL;1,70;0,036;-1,00
soccer;Mednarodni;FIFA WCQ Afr;1;3;0;4;NULL;2,50;1,75;0,034;-1,00
soccer;Mednarodni;UEFA U21ChII;x2;3;0;2;NULL;NULL;2,55;0,059;1,55
soccer;Mednarodni;FIFA WCQ Afr;1;3;0;2;-2,00;NULL;2,40;0,078;1,40
tennis;svet;M MonteV R1;2;3;0;2;0,00;NULL;3,80;0,045;-1,00
Basketball;Mednarodni;Euro Chall;2;3;0;2;NULL;NULL;2,45;0,033;-1,00
Basketball;Mednarodni;Euro Chall;1;3;0;2;NULL;NULL;1,75;0,124;0,75
Hockey;Švica;Switz NL A 3;1;3;0;2;NULL;NULL;2,20;0,033;1,20
soccer;Mednarodni;FIFA WCQ Afr;1;3;0;4;NULL;2,50;2,20;0,042;-1,00
soccer;Mednarodni;FIFA WCQ Afr;1;3;0;2;-1,00;NULL;2,17;0,047;1,17
soccer;Mednarodni;FIFA WCQ Afr;1;3;0;2;NULL;NULL;1,45;0,043;0,45
Basketball;Mednarodni;Eurocup;1;3;0;2;NULL;NULL;1,60;0,034;-1,00
Basketball;Francija;France ProA;2;3;0;2;NULL;NULL;1,62;0,032;-1,00
soccer;Anglija;Eng. FA Cup;2;3;0;4;NULL;2,50;1,80;0,031;0,80
soccer;Mednarodni;UEFA EURO-Q;2;3;0;2;NULL;NULL;2,90;0,031;-1,00
soccer;Mednarodni;FIFAWCQNCAC;1;4;0;2;NULL;NULL;2,35;0,033;-1,00
soccer;Indija;India SL;2;4;0;2;NULL;NULL;3,10;0,04;-1,00
soccer;Mednarodni;UEFA U19ChIl;2;4;0;4;NULL;2,50;1,90;0,031;-1,00
Basketball;Mednarodni;Eurocup;2;4;0;2;NULL;NULL;2,05;0,041;-1,00
Basketball;Mednarodni;Euro Chall;1;4;0;2;NULL;NULL;1,75;0,035;0,75
Basketball;Mednarodni;Euro Chall;1;4;0;2;NULL;NULL;1,62;0,054;0,62
Basketball;Češka;Czech Mat;1;4;0;2;NULL;NULL;1,70;0,035;0,70
Basketball;Češka;Czech Mat;1;4;0;2;NULL;NULL;1,35;0,07;-1,00
Basketball;Mednarodni;Eurocup;2;4;0;2;NULL;NULL;2,80;0,037;1,80
Basketball;Mednarodni;Euro Chall;2;4;0;2;NULL;NULL;1,30;0,085;0,30
Basketball;Mednarodni;Euro Chall;2;4;0;2;NULL;NULL;1,40;0,035;0,40
Basketball;Mednarodni;Eurocup;1;4;0;2;NULL;NULL;1,60;0,051;-1,00
Basketball;Mednarodni;Euro Chall;1;4;0;2;NULL;NULL;1,30;0,034;0,30
Handball;Španija;Spain L A 3;1;4;0;4;NULL;61,50;1,80;0,034;0,80
Basketball;Mednarodni;Eurocup;2;4;0;2;NULL;NULL;2,05;0,041;-1,00
soccer;Brazilija;Brazil Ser A;2;4;0;2;NULL;NULL;3,15;0,031;-1,00
Basketball;J.Koreja;Korean BL;1;5;0;2;NULL;NULL;1,48;0,153;0,48
soccer;Belorusija;Belarus Cup;1;5;0;4;NULL;2,50;1,60;0,042;0,60
soccer;Iran;Iran PL;2;5;0;4;NULL;2,50;1,49;0,035;0,49
soccer;Iran;Iran PL;2;5;0;2;NULL;NULL;3,25;0,034;-1,00
Basketball;Mednarodni;Euroleague;2;5;0;2;NULL;NULL;1,50;0,036;0,50
soccer;Mednarodni;UEFA W. CUP;1;5;0;2;-2,00;NULL;2,05;0,033;1,05
tennis;svet;M MonteV R16;2;5;0;2;0,00;NULL;3,35;0,032;2,35
